strategy,symbol,timeframe,params,trades,win_rate,sharpe,max_drawdown_pct,return_pct,profit_factor,avg_pnl
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",57,0.2105,-7.2738,0.4567,-44.0915,0.3027,-7.735358
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 9, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",39,0.2051,-4.939,0.328,-29.7663,0.4441,-7.632372
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 9, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",39,0.2051,-4.075,0.3434,-27.3877,0.5006,-7.022495
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 9, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",39,0.2051,-4.7959,0.3798,-31.3487,0.4102,-8.038135
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 9, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",39,0.2051,-5.1079,0.3361,-30.6136,0.4348,-7.849653
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 9, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",39,0.2051,-4.2328,0.3513,-28.2638,0.4909,-7.247135
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 9, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",39,0.2051,-4.9519,0.3873,-32.177,0.4021,-8.250521
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 9, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",39,0.2051,-5.2767,0.3439,-31.4294,0.4261,-8.058828
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 9, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",39,0.2051,-4.3896,0.359,-29.1072,0.4818,-7.463394
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 34, 'signal': 9, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",39,0.2051,-5.1073,0.3945,-32.9744,0.3945,-8.454983
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",65,0.2769,-5.7704,0.4329,-38.1081,0.4396,-5.86279
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",65,0.2769,-5.7934,0.4587,-39.0999,0.4251,-6.015368
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",65,0.2769,-5.7934,0.4587,-39.0999,0.4251,-6.015368
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",65,0.2769,-5.7704,0.4329,-38.1081,0.4396,-5.86279
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",65,0.2769,-5.7934,0.4587,-39.0999,0.4251,-6.015368
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",65,0.2769,-5.7934,0.4587,-39.0999,0.4251,-6.015368
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",65,0.2769,-5.7704,0.4329,-38.1081,0.4396,-5.86279
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",65,0.2769,-5.7934,0.4587,-39.0999,0.4251,-6.015368
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",65,0.2769,-5.7934,0.4587,-39.0999,0.4251,-6.015368
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",49,0.2857,-3.5273,0.321,-24.8715,0.5902,-5.075816
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",49,0.2857,-2.9309,0.3022,-22.2721,0.6375,-4.545319
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",49,0.2857,-3.4812,0.3363,-26.0657,0.5681,-5.31953
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",49,0.2857,-3.5273,0.321,-24.8715,0.5902,-5.075816
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",49,0.2857,-2.9309,0.3022,-22.2721,0.6375,-4.545319
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",49,0.2857,-3.4812,0.3363,-26.0657,0.5681,-5.31953
MACD,BTC/USDT,4h,"{'fast': 5, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",49,0.2857,-3.5273,0.321,-24.8715,0.5902,-5.075816
